3.135.241.253 - - [24/Jul/2023:00:20:48 +0300] "GET /.well-known/acme-challenge/8Ws1sirnChd2-lJ_mVoHJjw750YVrFgDE8PrM1S9oME HTTP/1.1" 200 308 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
54.149.111.225 - - [24/Jul/2023:00:20:48 +0300] "GET /.well-known/acme-challenge/8Ws1sirnChd2-lJ_mVoHJjw750YVrFgDE8PrM1S9oME HTTP/1.1" 200 308 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
23.178.112.203 - - [24/Jul/2023:00:20:49 +0300] "GET /.well-known/acme-challenge/8Ws1sirnChd2-lJ_mVoHJjw750YVrFgDE8PrM1S9oME HTTP/1.1" 200 308 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
192.168.1.1 - - [24/Jul/2023:00:21:16 +0300] "GET / HTTP/1.1" 301 574 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:17 +0300] "GET / HTTP/1.1" 200 5592 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:17 +0300] "GET /styles.css HTTP/1.1" 200 4119 "https://th.devserver.ro/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:17 +0300] "GET /images/logo.jpg HTTP/1.1" 200 32055 "https://th.devserver.ro/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:17 +0300] "GET /images/tudor_halatiu.jpg HTTP/1.1" 200 141102 "https://th.devserver.ro/styles.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:17 +0300] "GET /favicon.ico HTTP/1.1" 404 516 "https://th.devserver.ro/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:47 +0300] "GET / HTTP/1.1" 200 5584 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
192.168.1.1 - - [24/Jul/2023:00:21:47 +0300] "GET /favicon.ico HTTP/1.1" 404 516 "https://th.devserver.ro/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
34.254.53.125 - - [24/Jul/2023:00:22:02 +0300] "GET / HTTP/1.1" 200 5598 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0"
34.254.53.125 - - [24/Jul/2023:00:22:02 +0300] "GET / HTTP/1.1" 200 5582 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/114.0"
34.254.53.125 - - [24/Jul/2023:00:22:02 +0300] "GET /styles.css HTTP/1.1" 200 4119 "https://th.devserver.ro/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/114.0"
34.254.53.125 - - [24/Jul/2023:00:22:02 +0300] "GET /images/logo.jpg HTTP/1.1" 200 32055 "https://th.devserver.ro/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/114.0"
34.254.53.125 - - [24/Jul/2023:00:22:03 +0300] "GET /images/tudor_halatiu.jpg HTTP/1.1" 200 141102 "https://th.devserver.ro/styles.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/114.0"
34.254.53.125 - - [24/Jul/2023:00:22:03 +0300] "GET /favicon.ico HTTP/1.1" 404 840 "https://th.devserver.ro/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/114.0"
34.254.53.125 - - [24/Jul/2023:00:22:03 +0300] "GET / HTTP/1.1" 200 5598 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
34.254.53.125 - - [24/Jul/2023:00:22:04 +0300] "HEAD /favicon.ico HTTP/1.1" 404 4911 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
195.211.77.140 - - [24/Jul/2023:00:22:07 +0300] "GET / HTTP/1.1" 200 6288 "-" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.39 Safari/537.36"
91.213.50.8 - - [24/Jul/2023:00:22:24 +0300] "GET /.git/config HTTP/1.1" 404 5142 "-" "Mozilla/5.0 (Linux; Android 5.0.1; SCH-R970 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Mobile Safari/537.36"
159.69.91.132 - - [24/Jul/2023:00:22:27 +0300] "GET / HTTP/1.1" 200 5526 "-" "Go-http-client/1.1"
139.59.230.191 - - [24/Jul/2023:00:22:30 +0300] "GET / HTTP/1.1" 200 6291 "-" "-"
